actions_executed, tiles_visited,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,
25,25,
26,26,
27,27,
28,28,
29,28,
30,28,
31,29,
32,30,
33,31,
34,32,
35,33,
36,34,
37,35,
38,36,
39,37,
40,38,
41,39,
42,40,
43,41,
44,42,
45,43,
46,44,
47,45,
48,46,
49,47,
50,48,
51,49,
52,49,
53,49,
54,49,
55,50,
56,51,
57,52,
58,53,
59,54,
60,55,
61,55,
62,55,
63,56,
64,57,
65,58,
66,58,
67,58,
68,59,
69,59,
70,59,
71,59,
72,60,
73,61,
74,61,
75,62,
76,62,
77,62,
78,63,
79,63,
80,63,
81,63,
82,64,
83,65,
84,66,
85,67,
86,68,
87,69,
88,70,
89,71,
90,71,
91,72,
92,72,
93,73,
94,74,
95,74,
96,74,
97,75,
98,76,
99,77,
100,78,
101,79,
102,79,
103,79,
104,79,
105,79,
106,79,
107,79,
108,79,
109,79,
110,79,
111,79,
112,79,
113,79,
114,80,
115,81,
116,82,
117,82,
118,82,
119,82,
120,82,
121,82,
122,82,
123,82,
124,82,
125,82,
126,82,
127,82,
128,83,
129,84,
130,85,
131,86,
132,87,
133,88,
134,89,
135,90,
136,91,
137,92,
138,93,
139,94,
140,94,
141,94,
142,94,
143,94,
144,94,
145,94,
146,95,
147,96,
148,97,
149,97,
150,97,
151,97,
152,97,
153,97,
154,98,
155,99,
156,99,
157,99,
158,100,
159,101,
160,101,
161,101,
162,102,
163,103,
164,104,
165,105,
166,106,
167,107,
168,107,
169,107,
170,107,
171,108,
172,108,
173,109,
174,110,
175,110,
176,110,
177,111,
178,111,
179,111,
180,112,
181,113,
182,113,
183,113,
184,113,
185,113,
186,113,
187,113,
188,113,
189,113,
190,113,
191,113,
192,114,
193,114,
194,114,
195,114,
196,115,
197,115,
198,115,
199,115,
200,115,
201,115,
202,115,
203,115,
204,115,
205,115,
206,115,
207,115,
208,115,
209,115,
210,115,
211,115,
212,116,
213,116,
214,116,
215,117,
216,117,
217,117,
218,117,
219,118,
220,118,
221,118,
222,118,
223,118,
224,118,
225,118,
226,119,
227,119,
228,119,
229,119,
230,119,
231,119,
232,119,
233,120,
234,121,
235,121,
236,121,
237,121,
238,122,
239,123,
240,123,
241,123,
242,123,
243,123,
244,123,
245,123,
246,123,
247,123,
248,123,
249,123,
250,123,
251,123,
252,123,
253,124,
254,125,
255,126,
256,126,
257,127,
258,127,
259,128,
260,128,
261,128,
262,128,
263,128,
264,129,
265,130,
266,131,
267,131,
268,131,
269,131,
270,131,
271,131,
272,131,
273,131,
274,131,
275,131,
276,131,
277,132,
278,133,
279,134,
280,134,
281,134,
282,134,
283,134,
284,135,
285,135,
286,135,
287,135,
288,135,
289,135,
290,135,
291,136,
292,136,
293,136,
294,136,
295,136,
296,136,
297,136,
298,136,
299,136,
300,136,
301,136,
302,136,
303,136,
304,137,
305,138,
306,139,
307,139,
308,139,
309,139,
310,139,
311,139,
312,140,
313,140,
314,140,
315,140,
316,140,
317,141,
318,141,
319,141,
320,142,
321,142,
322,142,
323,142,
324,142,
325,142,
326,142,
327,142,
328,142,
329,142,
330,142,
331,142,
332,142,
333,142,
334,143,
335,143,
336,143,
337,143,
338,143,
339,144,
340,145,
341,146,
342,146,
343,146,
344,146,
345,146,
346,146,
347,146,
348,146,
349,146,
350,146,
351,146,
352,146,
353,147,
354,148,
355,148,
356,148,
357,148,
358,148,
359,148,
360,148,
361,148,
362,148,
363,148,
364,148,
365,149,
366,149,
367,150,
368,150,
369,151,
370,151,
371,151,
372,151,
373,151,
374,151,
375,151,
376,151,
377,151,
378,151,
379,151,
380,151,
381,151,
382,152,
383,153,
384,154,
385,154,
386,154,
387,154,
388,154,
389,154,
390,154,
391,154,
392,154,
393,154,
394,154,
395,154,
396,154,
397,154,
398,155,
399,156,
400,156,
401,156,
402,156,
403,156,
404,157,
405,158,
406,159,
407,159,
408,159,
409,159,
410,159,
411,159,
412,159,
413,159,
414,159,
415,159,
416,160,
417,161,
418,161,
419,161,
420,161,
421,161,
422,161,
423,161,
424,161,
425,161,
426,161,
427,161,
428,161,
429,161,
430,161,
431,161,
432,162,
433,163,
434,163,
435,163,
436,163,
437,163,
438,163,
439,163,
440,163,
441,163,
442,163,
443,163,
444,163,
445,163,
446,163,
447,163,
448,163,
449,164,
450,164,
451,165,
452,165,
453,166,
454,166,
455,166,
456,166,
457,166,
458,166,
459,166,
460,166,
461,166,
462,166,
463,166,
464,166,
465,166,
466,167,
467,168,
468,168,
469,168,
470,168,
471,168,
472,168,
473,168,
474,168,
475,168,
476,168,
477,168,
478,168,
479,169,
480,170,
481,171,
482,172,
483,173,
484,173,
485,173,
486,173,
487,173,
488,173,
489,173,
490,173,
491,173,
492,173,
493,173,
494,173,
495,173,
496,173,
497,174,
498,175,
499,175,
500,175,
